trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
148,False,"{'a': 0.5, 'e': 0.9111999999999933}",25,2,-107.79021019105137,"{0: 13, 1: 4, 2: 3, 3: 2, 4: 1}",1
149,False,"{'a': 0.5, 'e': 0.9105999999999933}",20,-62,-311.30365528858573,"{0: 53, 1: 5, 2: 15, 3: 7, 4: 2}",0
150,False,"{'a': 0.5, 'e': 0.9099999999999933}",25,16,-3.0113193356140844,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.9093999999999932}",20,-8,-141.89266682702396,"{0: 17, 1: 5, 2: 2, 3: 2, 4: 2}",0
152,False,"{'a': 0.5, 'e': 0.9087999999999932}",20,-5,-71.50678777224735,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
153,False,"{'a': 0.5, 'e': 0.9081999999999931}",20,-16,-158.90580658135863,"{0: 20, 1: 5, 2: 9, 3: 0, 4: 2}",0
154,False,"{'a': 0.5, 'e': 0.9075999999999931}",20,2,-64.18111429793976,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 1}",1
155,False,"{'a': 0.5, 'e': 0.906999999999993}",30,-24,-197.77976760475886,"{0: 33, 1: 10, 2: 6, 3: 3, 4: 2}",0
156,False,"{'a': 0.5, 'e': 0.906399999999993}",30,13,-61.806234356262216,"{0: 9, 1: 1, 2: 7, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.9057999999999929}",20,-75,-472.4413896541819,"{0: 61, 1: 8, 2: 12, 3: 8, 4: 6}",0
158,False,"{'a': 0.5, 'e': 0.9051999999999929}",20,-66,-459.8767242729318,"{0: 52, 1: 7, 2: 17, 3: 3, 4: 7}",0
159,False,"{'a': 0.5, 'e': 0.9045999999999929}",25,-100,-497.85847144615366,"{0: 77, 1: 13, 2: 26, 3: 4, 4: 5}",0
160,False,"{'a': 0.5, 'e': 0.9039999999999928}",20,-57,-379.31595142298005,"{0: 42, 1: 14, 2: 14, 3: 2, 4: 5}",0
161,False,"{'a': 0.5, 'e': 0.9033999999999928}",25,-25,-227.7617241852829,"{0: 33, 1: 3, 2: 10, 3: 0, 4: 4}",0
162,False,"{'a': 0.5, 'e': 0.9027999999999927}",20,-1,-33.91090999320065,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 1}",1
163,False,"{'a': 0.5, 'e': 0.9021999999999927}",20,-42,-254.90963262562943,"{0: 37, 1: 11, 2: 8, 3: 3, 4: 3}",0
164,False,"{'a': 0.5, 'e': 0.9015999999999926}",20,-76,-468.2439067726214,"{0: 61, 1: 11, 2: 14, 3: 2, 4: 8}",0
165,False,"{'a': 0.5, 'e': 0.9009999999999926}",20,-89,-541.779770156409,"{0: 70, 1: 10, 2: 16, 3: 4, 4: 9}",0
166,False,"{'a': 0.5, 'e': 0.9003999999999925}",20,-5,-162.26523309831313,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
167,False,"{'a': 0.5, 'e': 0.8997999999999925}",20,0,-68.26523824387093,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",1
168,False,"{'a': 0.5, 'e': 0.8991999999999924}",25,20,10.449278226487024,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.8985999999999924}",20,-58,-358.7864818274443,"{0: 50, 1: 8, 2: 12, 3: 3, 4: 5}",0
170,False,"{'a': 0.5, 'e': 0.8979999999999924}",20,-35,-89.9142610802349,"{0: 40, 1: 3, 2: 10, 3: 2, 4: 0}",0
171,False,"{'a': 0.5, 'e': 0.8973999999999923}",25,-18,-186.27972044692194,"{0: 27, 1: 8, 2: 4, 3: 1, 4: 3}",0
172,False,"{'a': 0.5, 'e': 0.8967999999999923}",25,1,-23.041099690000046,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.8961999999999922}",20,-25,-202.45815349305295,"{0: 25, 1: 7, 2: 9, 3: 2, 4: 2}",0
174,False,"{'a': 0.5, 'e': 0.8955999999999922}",20,-100,-764.759700019573,"{0: 70, 1: 11, 2: 24, 3: 1, 4: 14}",0
175,False,"{'a': 0.5, 'e': 0.8949999999999921}",20,-53,-212.6998626183838,"{0: 48, 1: 11, 2: 9, 3: 3, 4: 2}",0
176,False,"{'a': 0.5, 'e': 0.8943999999999921}",25,-62,-355.24925547502085,"{0: 55, 1: 5, 2: 19, 3: 5, 4: 3}",0
177,False,"{'a': 0.5, 'e': 0.893799999999992}",20,-100,-385.0766773784908,"{0: 84, 1: 10, 2: 18, 3: 2, 4: 6}",0
178,False,"{'a': 0.5, 'e': 0.893199999999992}",25,-97,-373.3553845231308,"{0: 87, 1: 10, 2: 17, 3: 2, 4: 6}",0
